plaats,te_duur,te_duur,Procent
Venray,TRUE,1,100
Vlaardingen,FALSE,1,100
Vlissingen,TRUE,1,100
Volendam,FALSE,1,100
Voorburg,TRUE,1,100
Voorhout,FALSE,1,100
Vught,TRUE,1,100
Waddinxveen,TRUE,1,100
Wageningen,TRUE,0.6,60
Wageningen,FALSE,0.4,40
Warmond,FALSE,1,100
Wassenaar,TRUE,1,100
Wijchen,FALSE,1,100
Winschoten,TRUE,1,100
Winterswijk,FALSE,1,100
Woldendorp,TRUE,1,100
Zaandam,TRUE,0.777777778,77.77777778
Zaandam,FALSE,0.222222222,22.22222222
Zandvoort,TRUE,1,100
Zeist,TRUE,1,100
Zoetermeer,TRUE,0.666666667,66.66666667
Zoetermeer,FALSE,0.333333333,33.33333333
Zwolle,TRUE,0.833333333,83.33333333
Zwolle,FALSE,0.166666667,16.66666667
de Lutte,FALSE,1,100
