straat,plaats,oppervlakte_kamer,oppervlakte_subtitel,prijs,gas_water_licht,opleverniveau,beschikbaarheid,publicatiedatum,kamers_url,woningdetails
Schumanstraat,in Heerlen,124 m,,€ 1100,p/m | excl. g/w/e,Gestoffeerd,03-09-2021,6 uur geleden geplaatst,https://kamernet.nl/huren/appartement-heerlen/schumanstraat/appartement-1984985,"{'Woonkamer': ' Onbekend ', 'Keuken': ' Onbekend ', 'Badkamer': ' Onbekend ', 'Toilet': ' Onbekend ', 'Internet': ' Onbekend ', 'Energielabel': ' Onbekend ', 'Huisdieren': ' Nee '}"
Koeriersterweg,in Groningen,13 m,,€ 440,p/m | incl. g/w/e,Kaal,01-10-2021,20 uur geleden geplaatst,https://kamernet.nl/huren/kamer-groningen/koeriersterweg/kamer-1984906,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  5 ', 'Geslacht': ' Man ', 'Huisdieren': ' Nee '}"
Hondsrug,in Utrecht,10 m,,€ 360,p/m | incl. g/w/e,Kaal,01-10-2021,20 uur geleden geplaatst,https://kamernet.nl/huren/kamer-utrecht/hondsrug/kamer-1984910,"{'Woonkamer': ' Geen ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  3 ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
Jan Lelimanhof,in Amsterdam,11 m,,€ 600,p/m | incl. g/w/e,Gestoffeerd,01-10-2021,20 uur geleden geplaatst,https://kamernet.nl/huren/kamer-amsterdam/jan-lelimanhof/kamer-1983908,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  4  ', 'Geslacht': ' Man ', 'Huisdieren': ' In overleg '}"
Oosteinde,in Delft,11 m,,€ 410,p/m | incl. g/w/e,Gestoffeerd,02-10-2021,20 uur geleden geplaatst,https://kamernet.nl/huren/kamer-delft/oosteinde/kamer-1984881,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  8  ', 'Geslacht': ' Man ', 'Huisdieren': ' Nee '}"
Schieweg,in Rotterdam,57 m,Totaal 2 kamers (1 slaapkamer) ,€ 1200,p/m | incl. g/w/e,Gemeubileerd,25-09-2021 tot 01-03-2022,2 dagen geleden geplaatst,https://kamernet.nl/huren/appartement-rotterdam/schieweg/appartement-1984607,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Eigen ', 'Toilet': ' Eigen ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisdieren': ' Nee '}"
Keucheniusstraat,in Rotterdam,20 m,,€ 800,p/m | incl. g/w/e,Gestoffeerd,01-11-2021,3 uur geleden geplaatst,https://kamernet.nl/huren/studio-rotterdam/keucheniusstraat/studio-1985052,"{'Woonkamer': ' Geen ', 'Keuken': ' Eigen ', 'Badkamer': ' Eigen ', 'Toilet': ' Eigen ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisdieren': ' Nee '}"
H.M. Kraaijvangerstraat,in Amsterdam,25 m,,€ 1295,p/m | incl. g/w/e,Gemeubileerd,01-10-2021,5 uur geleden geplaatst,https://kamernet.nl/huren/studio-amsterdam/h.m.-kraaijvangerstraat/studio-1985021,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Eigen ', 'Toilet': ' Eigen ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisdieren': ' Nee '}"
Adelaarsweg,in Amsterdam,16 m,Totale oppervlakte: 15 m 2,€ 1000,p/m | incl. g/w/e,Gemeubileerd,01-09-2021 tot 01-07-2022,4 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-amsterdam/adelaarsweg/kamer-1983389,"{'Woonkamer': ' Geen ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  3 ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
Lijnbaanstraat,in Groningen,30 m,Totaal 1 kamer (1 slaapkamer) ,€ 750,p/m | incl. g/w/e,Gestoffeerd,01-10-2021,4 dagen geleden geplaatst,https://kamernet.nl/huren/studio-groningen/lijnbaanstraat/studio-1984110,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Eigen ', 'Toilet': ' Eigen ', 'Internet': ' Ja ', 'Energielabel': ' A ', 'Huisdieren': ' In overleg '}"
