html,straat,plaats,oppervlakte_kamer,oppervlakte_subtitel,prijs,gas_water_licht,opleverniveau,beschikbaarheid,publicatiedatum,kamers_url,woningdetails
kamer-1994769.html,Zwolsestraat,in Den Haag,12 m,Totale oppervlakte: 150 m 2,€ 650,p/m | incl. g/w/e,Gemeubileerd,01-11-2021,4 uur geleden geplaatst,https://kamernet.nl/huren/kamer-den-haag/zwolsestraat/kamer-1994769,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' B ', 'Huisgenoten': '  2 ', 'Geslacht': ' Man ', 'Huisdieren': ' Nee '}"
appartement-1994837.html,Eric Kropstraat,in Rotterdam,100 m,Totaal 3 kamers,€ 1595,p/m | excl. g/w/e,Gemeubileerd,13-10-2021,2 uur geleden geplaatst,https://kamernet.nl/huren/appartement-rotterdam/eric-kropstraat/appartement-1994837,"{'Woonkamer': ' Onbekend ', 'Keuken': ' Onbekend ', 'Badkamer': ' Onbekend ', 'Toilet': ' Onbekend ', 'Internet': ' Onbekend ', 'Energielabel': ' Onbekend ', 'Huisdieren': ' Nee '}"
appartement-1994836.html,Hogenbanweg,in Rotterdam,54 m,Totaal 3 kamers,€ 895,p/m | excl. g/w/e,Gestoffeerd,13-10-2021,2 uur geleden geplaatst,https://kamernet.nl/huren/appartement-rotterdam/hogenbanweg/appartement-1994836,"{'Woonkamer': ' Onbekend ', 'Keuken': ' Onbekend ', 'Badkamer': ' Onbekend ', 'Toilet': ' Onbekend ', 'Internet': ' Onbekend ', 'Energielabel': ' Onbekend ', 'Huisdieren': ' Nee '}"
kamer-1994666.html,Nova Zemblastraat,in Amsterdam,20 m,,€ 430,p/m | incl. g/w/e,Gemeubileerd,01-11-2021 tot 31-01-2022,Gisteren geplaatst,https://kamernet.nl/huren/kamer-amsterdam/nova-zemblastraat/kamer-1994666,"{'Woonkamer': ' Geen ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  1 ', 'Geslacht': ' Vrouw ', 'Huisdieren': ' Nee '}"
kamer-1994691.html,Rijnsburgersingel,in Leiden,30 m,Totale oppervlakte: 11 m 2,€ 650,p/m | excl. g/w/e,Kaal,01-11-2021,22 uur geleden geplaatst,https://kamernet.nl/huren/kamer-leiden/rijnsburgersingel/kamer-1994691,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Onbekend ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  2 ', 'Geslacht': ' Vrouw ', 'Huisdieren': ' Nee '}"
kamer-1994532.html,Vrijheidslaan,in Leiden,15 m,,€ 350,p/m | incl. g/w/e,Kaal,18-10-2021,2 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-leiden/vrijheidslaan/kamer-1994532,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  Meer dan 8 ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
kamer-1994520.html,Borgerstraat,in Amsterdam,10 m,Totale oppervlakte: 50 m 2,€ 400,p/m | incl. g/w/e,Gemeubileerd,11-10-2021,2 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-amsterdam/borgerstraat/kamer-1994520,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  1 ', 'Geslacht': ' Man ', 'Huisdieren': ' Nee '}"
appartement-1994427.html,Coehoornstraat,in Hilversum,50 m,,€ 1200,p/m | incl. g/w/e,Gestoffeerd,01-11-2021,2 dagen geleden geplaatst,https://kamernet.nl/huren/appartement-hilversum/coehoornstraat/appartement-1994427,"{'Woonkamer': ' Geen ', 'Keuken': ' Eigen ', 'Badkamer': ' Eigen ', 'Toilet': ' Eigen ', 'Internet': ' Nee ', 'Energielabel': ' Onbekend ', 'Huisdieren': ' Nee '}"
kamer-1994580.html,Gasthuisring,in Tilburg,15 m,,€ 350,p/m | excl. g/w/e,Onbekend,12-10-2021,Gisteren geplaatst,https://kamernet.nl/huren/kamer-tilburg/gasthuisring/kamer-1994580,"{'Woonkamer': ' Onbekend ', 'Keuken': ' Onbekend ', 'Badkamer': ' Onbekend ', 'Toilet': ' Onbekend ', 'Internet': ' Onbekend ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  Onbekend  ', 'Geslacht': ' Onbekend ', 'Huisdieren': ' Nee '}"
kamer-1994152.html,van Noremborghstraat,in Den Bosch,26 m,,€ 570,p/m | incl. g/w/e,Kaal,01-11-2021,4 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-den-bosch/van-noremborghstraat/kamer-1994152,"{'Woonkamer': ' Geen ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  3 ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
