straat,plaats,oppervlakte_kamer,oppervlakte_subtitel,prijs,gas_water_licht,opleverniveau,beschikbaarheid,publicatiedatum,kamers_url,woningdetails
Tongerseweg,in Maastricht,10 m,,€ 299,p/m | incl. g/w/e,Gemeubileerd,13-03-2021,61 weken geleden geplaatst,https://kamernet.nl/huren/kamer-maastricht/tongerseweg/kamer-1828389,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' A ', 'Huisgenoten': '  Meer dan 8 ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
Schouwburgring,in Tilburg,26 m,,€ 704,p/m | excl. g/w/e,Gestoffeerd,01-12-2021,11 uur geleden geplaatst,https://kamernet.nl/huren/studio-tilburg/schouwburgring/studio-1987406,"{'Woonkamer': ' Onbekend ', 'Keuken': ' Onbekend ', 'Badkamer': ' Onbekend ', 'Toilet': ' Onbekend ', 'Internet': ' Onbekend ', 'Energielabel': ' Onbekend ', 'Huisdieren': ' In overleg '}"
Koekangestraat,in Den Haag,60 m,Totaal 3 kamers (2 slaapkamers) ,€ 895,p/m | excl. g/w/e,Gestoffeerd,09-09-2021 tot 30-09-2023,Gisteren geplaatst,https://kamernet.nl/huren/appartement-den-haag/koekangestraat/appartement-1987347,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Eigen ', 'Toilet': ' Eigen ', 'Internet': ' Ja ', 'Energielabel': ' D ', 'Huisdieren': ' Nee '}"
1e Vegelindwarsstraat,in Leeuwarden,100 m,Totaal 4 kamers (3 slaapkamers) ,€ 950,p/m | excl. g/w/e,Gestoffeerd,08-09-2021,Gisteren geplaatst,https://kamernet.nl/huren/appartement-leeuwarden/1e-vegelindwarsstraat/appartement-1986967,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Eigen ', 'Toilet': ' Eigen ', 'Internet': ' Nee ', 'Energielabel': ' Onbekend ', 'Huisdieren': ' Nee '}"
Driekoningenstraat,in Arnhem,25 m,,€ 497,p/m | incl. g/w/e,Gestoffeerd,01-10-2021,2 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-arnhem/driekoningenstraat/kamer-1987227,"{'Woonkamer': ' Eigen ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  1 ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
Klaprozenweg,in Amsterdam,192 m,,€ 2500,p/m | excl. g/w/e,Gemeubileerd,15-09-2021 tot 31-08-2023,2 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-amsterdam/klaprozenweg/kamer-1987077,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Eigen ', 'Toilet': ' Eigen ', 'Internet': ' Nee ', 'Energielabel': ' A ', 'Huisgenoten': '  Onbekend  ', 'Geslacht': ' Onbekend ', 'Huisdieren': ' Ja '}"
Lingestraat,in Groningen,18 m,,€ 620,p/m | incl. g/w/e,Gemeubileerd,29-09-2021 tot 31-12-2021,Gisteren geplaatst,https://kamernet.nl/huren/kamer-groningen/lingestraat/kamer-1987331,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  1 ', 'Geslacht': ' Vrouw ', 'Huisdieren': ' Nee '}"
Bilderdijkstraat,in Rotterdam,12 m,,€ 550,p/m | incl. g/w/e,Gemeubileerd,01-10-2021,6 uur geleden geplaatst,https://kamernet.nl/huren/kamer-rotterdam/bilderdijkstraat/kamer-1987518,"{'Woonkamer': ' Eigen ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  1 ', 'Geslacht': ' Man ', 'Huisdieren': ' Nee '}"
Wijngaardplein,in Eindhoven,27 m,Totale oppervlakte: 40 m 2,€ 450,p/m | incl. g/w/e,Gestoffeerd,13-09-2021,3 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-eindhoven/wijngaardplein/kamer-1986862,"{'Woonkamer': ' Eigen ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' B ', 'Huisgenoten': '  1 ', 'Geslacht': ' Man ', 'Huisdieren': ' Nee '}"
Havenweg,in Nieuwdorp,10 m,Totale oppervlakte: 20 m 2,€ 400,p/m | incl. g/w/e,Gemeubileerd,07-09-2021,3 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-nieuwdorp/havenweg/kamer-1986870,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  1 ', 'Geslacht': ' Man ', 'Huisdieren': ' Nee '}"
Noordmolenstraat,in Rotterdam,19 m,,€ 520,p/m | incl. g/w/e,Gemeubileerd,01-11-2021 tot 01-02-2022,3 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-rotterdam/noordmolenstraat/kamer-1986794,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  2 ', 'Geslacht': ' Man ', 'Huisdieren': ' Nee '}"
Grubbehoeve,in Amsterdam,11 m,Totale oppervlakte: 70 m 2,€ 375,p/m | incl. g/w/e,Gemeubileerd,08-09-2021,2 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-amsterdam/grubbehoeve/kamer-1987019,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  4  ', 'Geslacht': ' Vrouw ', 'Huisdieren': ' In overleg '}"
Groenstraat,in Tilburg,22 m,,€ 530,p/m | excl. g/w/e,Gestoffeerd,01-10-2021,2 dagen geleden geplaatst,https://kamernet.nl/huren/studio-tilburg/groenstraat/studio-1987131,"{'Woonkamer': ' Onbekend ', 'Keuken': ' Onbekend ', 'Badkamer': ' Onbekend ', 'Toilet': ' Onbekend ', 'Internet': ' Onbekend ', 'Energielabel': ' Onbekend ', 'Huisdieren': ' Nee '}"
Kottendijk,in Enschede,18 m,Totale oppervlakte: 70 m 2,€ 305,p/m | incl. g/w/e,Gemeubileerd,30-09-2021 tot 31-01-2022,3 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-enschede/kottendijk/kamer-1986876,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  5 ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
Oudegracht,in Utrecht,43 m,Totaal 2 kamers (1 slaapkamer) ,€ 890,p/m | incl. g/w/e,Gemeubileerd,07-09-2021 tot 31-10-2021,3 dagen geleden geplaatst,https://kamernet.nl/huren/appartement-utrecht/oudegracht/appartement-1986789,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisdieren': ' Nee '}"
Hatertseweg,in Nijmegen,70 m,Totaal 3 kamers (2 slaapkamers) ,€ 1233,p/m | excl. g/w/e,Gestoffeerd,01-10-2021,4 dagen geleden geplaatst,https://kamernet.nl/huren/appartement-nijmegen/hatertseweg/appartement-1986734,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Eigen ', 'Toilet': ' Eigen ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisdieren': ' Nee '}"
Staalmeesterslaan,in Amsterdam,13 m,Totale oppervlakte: 80 m 2,€ 850,p/m | incl. g/w/e,Gestoffeerd,01-10-2021,3 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-amsterdam/staalmeesterslaan/kamer-1986838,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  1 ', 'Geslacht': ' Man ', 'Huisdieren': ' Nee '}"
