html,straat,plaats,oppervlakte_kamer,oppervlakte_subtitel,prijs,gas_water_licht,opleverniveau,beschikbaarheid,publicatiedatum,kamers_url,woningdetails
kamer-1991900.html,Sumatrastraat,in Oegstgeest,22 m,Totale oppervlakte: 40 m 2,€ 950,p/m | incl. g/w/e,Gemeubileerd,01-11-2021 tot 31-07-2022,Gisteren geplaatst,https://kamernet.nl/huren/kamer-oegstgeest/sumatrastraat/kamer-1991900,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  2 ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
studio-1991905.html,Pracanalaan,in Amsterdam,25 m,Totaal 1 kamer (1 slaapkamer) ,€ 595,p/m | incl. g/w/e,Gemeubileerd,01-11-2021,Gisteren geplaatst,https://kamernet.nl/huren/studio-amsterdam/pracanalaan/studio-1991905,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Eigen ', 'Toilet': ' Eigen ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisdieren': ' Nee '}"
kamer-1991906.html,Hemelrijksestraat,in Helmond,21 m,,€ 549,p/m | incl. g/w/e,Gemeubileerd,03-10-2021,Gisteren geplaatst,https://kamernet.nl/huren/kamer-helmond/hemelrijksestraat/kamer-1991906,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  2 ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
kamer-1991910.html,Ben van Meerendonkstraat,in Amsterdam,6 m,Totale oppervlakte: 84 m 2,€ 750,p/m | incl. g/w/e,Gemeubileerd,07-11-2021,Gisteren geplaatst,https://kamernet.nl/huren/kamer-amsterdam/ben-van-meerendonkstraat/kamer-1991910,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' A ', 'Huisgenoten': '  1 ', 'Geslacht': ' Man ', 'Huisdieren': ' Nee '}"
kamer-1787505.html,Vroesenlaan,in Rotterdam,10 m,Totale oppervlakte: 80 m 2,€ 735,p/m | incl. g/w/e,Gemeubileerd,01-06-2021,41 weken geleden geplaatst,https://kamernet.nl/huren/kamer-rotterdam/vroesenlaan/kamer-1787505,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  2 ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
kamer-1991959.html,Bosboom-Toussaintplein,in Delft,6 m,Totale oppervlakte: 37 m 2,€ 390,p/m | incl. g/w/e,Gemeubileerd,01-11-2021,Gisteren geplaatst,https://kamernet.nl/huren/kamer-delft/bosboom-toussaintplein/kamer-1991959,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  2 ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
kamer-1991933.html,Postelse Hoeflaan,in Tilburg,13 m,Totale oppervlakte: 60 m 2,€ 400,p/m | excl. g/w/e,Gestoffeerd,03-10-2021,Gisteren geplaatst,https://kamernet.nl/huren/kamer-tilburg/postelse-hoeflaan/kamer-1991933,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' C ', 'Huisgenoten': '  2 ', 'Geslacht': ' Man ', 'Huisdieren': ' Nee '}"
kamer-1991954.html,Borgercompagnie,in Borgercompagnie,20 m,Totale oppervlakte: 4 m 2,€ 450,p/m | incl. g/w/e,Gestoffeerd,03-10-2021 tot 01-03-2022,Gisteren geplaatst,https://kamernet.nl/huren/kamer-borgercompagnie/borgercompagnie/kamer-1991954,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  2 ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
kamer-1991943.html,Winschoterdiep,in Groningen,10 m,,€ 316,p/m | incl. g/w/e,Kaal,01-11-2021,Gisteren geplaatst,https://kamernet.nl/huren/kamer-groningen/winschoterdiep/kamer-1991943,"{'Woonkamer': ' Geen ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  4  ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
kamer-1991915.html,Chopinlaan,in Naarden,20 m,,€ 575,p/m | excl. g/w/e,Gestoffeerd,01-01-2022,Gisteren geplaatst,https://kamernet.nl/huren/kamer-naarden/chopinlaan/kamer-1991915,"{'Woonkamer': ' Geen ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  1 ', 'Geslacht': ' Onbekend ', 'Huisdieren': ' Nee '}"
