html,straat,plaats,oppervlakte_kamer,oppervlakte_subtitel,prijs,gas_water_licht,opleverniveau,beschikbaarheid,publicatiedatum,kamers_url,woningdetails
studio-1991096.html,Roggekamp,in Den Haag,27 m,Totaal 2 kamers (1 slaapkamer) ,€ 580,p/m | incl. g/w/e,Gestoffeerd,29-09-2021 tot 30-09-2022,20 uur geleden geplaatst,https://kamernet.nl/huren/studio-den-haag/roggekamp/studio-1991096,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Eigen ', 'Toilet': ' Eigen ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisdieren': ' Nee '}"
kamer-1991033.html,Postelse Hoeflaan,in Tilburg,45 m,,€ 780,p/m | incl. g/w/e,Kaal,01-10-2021,Gisteren geplaatst,https://kamernet.nl/huren/kamer-tilburg/postelse-hoeflaan/kamer-1991033,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Eigen ', 'Toilet': ' Eigen ', 'Internet': ' Nee ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  Onbekend  ', 'Geslacht': ' Onbekend ', 'Huisdieren': ' Nee '}"
kamer-1990978.html,Van der Brugghenstraat,in Delft,25 m,Totale oppervlakte: 100 m 2,€ 400,p/m | excl. g/w/e,Gemeubileerd,31-10-2021 tot 22-01-2022,Gisteren geplaatst,https://kamernet.nl/huren/kamer-delft/van-der-brugghenstraat/kamer-1990978,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Eigen ', 'Toilet': ' Eigen ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  7 ', 'Geslacht': ' Man ', 'Huisdieren': ' In overleg '}"
kamer-1990904.html,Vrouwgeestweg,in Woubrugge,50 m,,€ 700,p/m | incl. g/w/e,Gestoffeerd,10-10-2021,Gisteren geplaatst,https://kamernet.nl/huren/kamer-woubrugge/vrouwgeestweg/kamer-1990904,"{'Woonkamer': ' Onbekend ', 'Keuken': ' Onbekend ', 'Badkamer': ' Onbekend ', 'Toilet': ' Onbekend ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  Onbekend  ', 'Geslacht': ' Onbekend ', 'Huisdieren': ' In overleg '}"
kamer-1991003.html,Kasteel Bleienbeekstraat,in Maastricht,12 m,Totale oppervlakte: 70 m 2,€ 375,p/m | incl. g/w/e,Kaal,28-09-2021,Gisteren geplaatst,https://kamernet.nl/huren/kamer-maastricht/kasteel-bleienbeekstraat/kamer-1991003,"{'Woonkamer': ' Geen ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  2 ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
kamer-1991031.html,Entrepotbrug,in Amsterdam,20 m,Totale oppervlakte: 100 m 2,€ 820,p/m | incl. g/w/e,Gestoffeerd,01-11-2021,Gisteren geplaatst,https://kamernet.nl/huren/kamer-amsterdam/entrepotbrug/kamer-1991031,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  Onbekend  ', 'Geslacht': ' Onbekend ', 'Huisdieren': ' Ja '}"
appartement-1991178.html,Oudezijds Voorburgwal,in Amsterdam,50 m,Totaal 2 kamers (1 slaapkamer) ,€ 1350,p/m | excl. g/w/e,Gestoffeerd,01-10-2021,7 uur geleden geplaatst,https://kamernet.nl/huren/appartement-amsterdam/oudezijds-voorburgwal/appartement-1991178,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Eigen ', 'Toilet': ' Eigen ', 'Internet': ' Onbekend ', 'Energielabel': ' Onbekend ', 'Huisdieren': ' Nee '}"
kamer-1990865.html,Witte de Withstraat,in Alphen aan den Rijn,12 m,Totale oppervlakte: 60 m 2,€ 450,p/m | incl. g/w/e,Gestoffeerd,28-09-2021,2 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-alphen-aan-den-rijn/witte-de-withstraat/kamer-1990865,"{'Woonkamer': ' Eigen ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  1 ', 'Geslacht': ' Man ', 'Huisdieren': ' Nee '}"
kamer-1990860.html,Henri Didonweg,in Hoofddorp,10 m,,€ 750,p/m | incl. g/w/e,Gemeubileerd,28-07-2021,2 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-hoofddorp/henri-didonweg/kamer-1990860,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Onbekend ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  Onbekend  ', 'Geslacht': ' Onbekend ', 'Huisdieren': ' Nee '}"
studio-1990940.html,Bonaventurastraat,in Rotterdam,45 m,Totaal 2 kamers (1 slaapkamer) ,€ 800,p/m | excl. g/w/e,Gestoffeerd,28-09-2021,Gisteren geplaatst,https://kamernet.nl/huren/studio-rotterdam/bonaventurastraat/studio-1990940,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Eigen ', 'Toilet': ' Eigen ', 'Internet': ' Onbekend ', 'Energielabel': ' Onbekend ', 'Huisdieren': ' In overleg '}"
