html,straat,plaats,oppervlakte_kamer,oppervlakte_subtitel,prijs,gas_water_licht,opleverniveau,beschikbaarheid,publicatiedatum,kamers_url,woningdetails
appartement-1987814.html,Zaagmuldersweg,in Groningen,47 m,Totaal 1 kamer (1 slaapkamer) ,€ 1100,p/m | excl. g/w/e,Gestoffeerd,16-11-2021,3 dagen geleden geplaatst,https://kamernet.nl/huren/appartement-groningen/zaagmuldersweg/appartement-1987814,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Eigen ', 'Toilet': ' Eigen ', 'Internet': ' Onbekend ', 'Energielabel': ' A ', 'Huisdieren': ' Nee '}"
kamer-1988194.html,Friesestraatweg,in Groningen,17 m,,€ 375,p/m | incl. g/w/e,Gestoffeerd,01-10-2021,Gisteren geplaatst,https://kamernet.nl/huren/kamer-groningen/friesestraatweg/kamer-1988194,"{'Woonkamer': ' Geen ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  3 ', 'Geslacht': ' Vrouw ', 'Huisdieren': ' Nee '}"
kamer-1988159.html,Schelfhoutstraat,in Eindhoven,10 m,,€ 319,p/m | incl. g/w/e,Gestoffeerd,01-10-2021,2 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-eindhoven/schelfhoutstraat/kamer-1988159,"{'Woonkamer': ' Geen ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  4  ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
kamer-1988067.html,Montgomerylaan,in Delft,19 m,,€ 460,p/m | incl. g/w/e,Gemeubileerd,20-09-2021 tot 02-11-2021,2 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-delft/montgomerylaan/kamer-1988067,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Eigen ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  2 ', 'Geslacht': ' Man ', 'Huisdieren': ' Nee '}"
kamer-1988434.html,Pieter Calandlaan,in Amsterdam,15 m,,€ 505,p/m | incl. g/w/e,Gemeubileerd,26-09-2021,4 uur geleden geplaatst,https://kamernet.nl/huren/kamer-amsterdam/pieter-calandlaan/kamer-1988434,"{'Woonkamer': ' Geen ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  5 ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
appartement-1988191.html,Nieuwe Mollenhutseweg,in Nijmegen,65 m,Totaal 3 kamers (1 slaapkamer) ,€ 810,p/m | excl. g/w/e,Kaal,01-11-2021,Gisteren geplaatst,https://kamernet.nl/huren/appartement-nijmegen/nieuwe-mollenhutseweg/appartement-1988191,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Eigen ', 'Toilet': ' Eigen ', 'Internet': ' Ja ', 'Energielabel': ' C ', 'Huisdieren': ' Nee '}"
appartement-1988070.html,Smaragdhof,in Utrecht,58 m,Totaal 3 kamers (2 slaapkamers) ,€ 1200,p/m | excl. g/w/e,Gestoffeerd,03-10-2021,2 dagen geleden geplaatst,https://kamernet.nl/huren/appartement-utrecht/smaragdhof/appartement-1988070,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Eigen ', 'Toilet': ' Eigen ', 'Internet': ' Nee ', 'Energielabel': ' E ', 'Huisdieren': ' Nee '}"
kamer-1988069.html,Taagdreef,in Utrecht,12 m,,€ 360,p/m | incl. g/w/e,Gestoffeerd,16-10-2021,2 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-utrecht/taagdreef/kamer-1988069,"{'Woonkamer': ' Geen ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  3 ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
kamer-1987357.html,Schieweg,in Schipluiden,8 m,Totale oppervlakte: 55 m 2,€ 200,p/m | incl. g/w/e,Gestoffeerd,01-10-2021,2 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-schipluiden/schieweg/kamer-1987357,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  4  ', 'Geslacht': ' Man ', 'Huisdieren': ' Nee '}"
kamer-1988075.html,Ouderkerkerlaan,in Amstelveen,10 m,,€ 465,p/m | incl. g/w/e,Kaal,15-09-2021,2 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-amstelveen/ouderkerkerlaan/kamer-1988075,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  Meer dan 8 ', 'Geslacht': ' Vrouw ', 'Huisdieren': ' Nee '}"
