straat,plaats,oppervlakte_kamer,oppervlakte_subtitel,prijs,gas_water_licht,opleverniveau,beschikbaarheid,publicatiedatum,kamers_url,woningdetails
Sonoystraat,in Den Haag,18 m,,€ 649,p/m | incl. g/w/e,Gestoffeerd,01-10-2021,8 uur geleden geplaatst,https://kamernet.nl/huren/kamer-den-haag/sonoystraat/kamer-1985517,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  Onbekend  ', 'Geslacht': ' Onbekend ', 'Huisdieren': ' Nee '}"
Horsbornplaat,in Delfzijl,126 m,Totaal 5 kamers (2 slaapkamers) ,€ 247,p/m | excl. g/w/e,Gestoffeerd,06-09-2021,7 uur geleden geplaatst,https://kamernet.nl/huren/anti-kraak-delfzijl/horsbornplaat/anti-kraak-1985560,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Eigen ', 'Toilet': ' Eigen ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisdieren': ' Nee '}"
Van Hasseltlaan,in Delft,25 m,Totaal 1 kamer (1 slaapkamer) ,€ 485,p/m | incl. g/w/e,Gemeubileerd,22-09-2021 tot 22-07-2022,7 uur geleden geplaatst,https://kamernet.nl/huren/studio-delft/van-hasseltlaan/studio-1985567,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Eigen ', 'Toilet': ' Eigen ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisdieren': ' Nee '}"
Dennenweg,in Enschede,12 m,,€ 265,p/m | incl. g/w/e,Gestoffeerd,01-10-2021,Gisteren geplaatst,https://kamernet.nl/huren/kamer-enschede/dennenweg/kamer-1984845,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  5 ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
Klaroenlaan,in Utrecht,15 m,,€ 700,p/m | incl. g/w/e,Gemeubileerd,01-09-2021 tot 31-08-2022,Gisteren geplaatst,https://kamernet.nl/huren/kamer-utrecht/klaroenlaan/kamer-1985348,"{'Woonkamer': ' Geen ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Nee ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  1 ', 'Geslacht': ' Vrouw ', 'Huisdieren': ' Nee '}"
Klikspaanweg,in Leiden,11 m,,€ 280,p/m | incl. g/w/e,Gestoffeerd,05-10-2021,2 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-leiden/klikspaanweg/kamer-1985344,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Nee ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  Meer dan 8 ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
Hyacintplein,in Breda,13 m,Totale oppervlakte: 80 m 2,€ 430,p/m | incl. g/w/e,Kaal,10-09-2021,3 uur geleden geplaatst,https://kamernet.nl/huren/kamer-breda/hyacintplein/kamer-1985613,"{'Woonkamer': ' Geen ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' D ', 'Huisgenoten': '  5 ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
Zeelsterstraat,in Eindhoven,35 m,Totaal 1 kamer (1 slaapkamer) ,€ 850,p/m | incl. g/w/e,Gemeubileerd,01-10-2021,3 uur geleden geplaatst,https://kamernet.nl/huren/appartement-eindhoven/zeelsterstraat/appartement-1985578,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Eigen ', 'Toilet': ' Eigen ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisdieren': ' Nee '}"
Vrouwestraat,in Vlissingen,18 m,,€ 290,p/m | incl. g/w/e,Gestoffeerd,03-09-2021,3 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-vlissingen/vrouwestraat/kamer-1985148,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  Meer dan 8 ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
Vrouwestraat,in Vlissingen,18 m,,€ 290,p/m | incl. g/w/e,Gestoffeerd,03-09-2021,3 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-vlissingen/vrouwestraat/kamer-1985150,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  Meer dan 8 ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
Parkstraat,in Venlo,28 m,,€ 590,p/m | excl. g/w/e,Gestoffeerd,03-09-2021,4 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-venlo/parkstraat/kamer-1984983,"{'Woonkamer': ' Onbekend ', 'Keuken': ' Onbekend ', 'Badkamer': ' Onbekend ', 'Toilet': ' Onbekend ', 'Internet': ' Onbekend ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  Onbekend  ', 'Geslacht': ' Onbekend ', 'Huisdieren': ' Nee '}"
Veestraat,in Sittard,70 m,,€ 752,p/m | excl. g/w/e,Gestoffeerd,03-09-2021,4 dagen geleden geplaatst,https://kamernet.nl/huren/appartement-sittard/veestraat/appartement-1984984,"{'Woonkamer': ' Onbekend ', 'Keuken': ' Onbekend ', 'Badkamer': ' Onbekend ', 'Toilet': ' Onbekend ', 'Internet': ' Onbekend ', 'Energielabel': ' Onbekend ', 'Huisdieren': ' Nee '}"
