straat,plaats,oppervlakte_kamer,oppervlakte_subtitel,prijs,gas_water_licht,opleverniveau,beschikbaarheid,publicatiedatum,kamers_url,woningdetails
Jan van Riebeecklaan,in Eindhoven,70 m,Totaal 2 kamers (1 slaapkamer) ,€ 899,p/m | incl. g/w/e,Gestoffeerd,01-11-2021,10 uur geleden geplaatst,https://kamernet.nl/huren/appartement-eindhoven/jan-van-riebeecklaan/appartement-1988165,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Eigen ', 'Toilet': ' Eigen ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisdieren': ' Nee '}"
Kwekerijstraat,in Delft,11 m,,€ 380,p/m | incl. g/w/e,Gemeubileerd,02-10-2021 tot 31-12-2021,9 uur geleden geplaatst,https://kamernet.nl/huren/kamer-delft/kwekerijstraat/kamer-1988196,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  3 ', 'Geslacht': ' Man ', 'Huisdieren': ' Nee '}"
Zevenwouden,in Utrecht,76 m,Totaal 3 kamers (2 slaapkamers) ,€ 1300,p/m | excl. g/w/e,Gemeubileerd,01-10-2021,10 uur geleden geplaatst,https://kamernet.nl/huren/appartement-utrecht/zevenwouden/appartement-1988175,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Eigen ', 'Toilet': ' Eigen ', 'Internet': ' Nee ', 'Energielabel': ' B ', 'Huisdieren': ' Nee '}"
Van Wassenaerstraat,in Groningen,21 m,,€ 460,p/m | incl. g/w/e,Gestoffeerd,01-10-2021,8 uur geleden geplaatst,https://kamernet.nl/huren/kamer-groningen/van-wassenaerstraat/kamer-1988178,"{'Woonkamer': ' Geen ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  2 ', 'Geslacht': ' Vrouw ', 'Huisdieren': ' Nee '}"
Graan voor Visch,in Hoofddorp,25 m,,€ 675,p/m | incl. g/w/e,Gemeubileerd,14-09-2021,12 uur geleden geplaatst,https://kamernet.nl/huren/studio-hoofddorp/graan-voor-visch/studio-1988125,"{'Woonkamer': ' Geen ', 'Keuken': ' Eigen ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Onbekend ', 'Energielabel': ' Onbekend ', 'Huisdieren': ' Nee '}"
Apeldoornseweg,in Ede,16 m,,€ 395,p/m | incl. g/w/e,Gestoffeerd,01-10-2021,12 uur geleden geplaatst,https://kamernet.nl/huren/kamer-ede/apeldoornseweg/kamer-1988140,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Eigen ', 'Toilet': ' Eigen ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  1 ', 'Geslacht': ' Vrouw ', 'Huisdieren': ' Nee '}"
Getfertweg,in Enschede,65 m,Totaal 3 kamers (2 slaapkamers) ,€ 850,p/m | excl. g/w/e,Kaal,01-10-2021,12 uur geleden geplaatst,https://kamernet.nl/huren/appartement-enschede/getfertweg/appartement-1988135,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Eigen ', 'Toilet': ' Eigen ', 'Internet': ' Onbekend ', 'Energielabel': ' D ', 'Huisdieren': ' Nee '}"
Slotermeerlaan,in Amsterdam,7 m,Totale oppervlakte: 60 m 2,€ 580,p/m | incl. g/w/e,Gestoffeerd,13-09-2021 tot 31-07-2022,Gisteren geplaatst,https://kamernet.nl/huren/kamer-amsterdam/slotermeerlaan/kamer-1987977,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  2 ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
Witte Singel,in Leiden,12 m,,€ 250,p/m | incl. g/w/e,Gestoffeerd,08-10-2021,2 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-leiden/witte-singel/kamer-1987852,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  8  ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
Deventerstraat,in Apeldoorn,60 m,Totaal 3 kamers,€ 795,p/m | excl. g/w/e,Gestoffeerd,01-10-2021,4 dagen geleden geplaatst,https://kamernet.nl/huren/appartement-apeldoorn/deventerstraat/appartement-1987588,"{'Woonkamer': ' Onbekend ', 'Keuken': ' Onbekend ', 'Badkamer': ' Onbekend ', 'Toilet': ' Onbekend ', 'Internet': ' Onbekend ', 'Energielabel': ' Onbekend ', 'Huisdieren': ' In overleg '}"
Vergiliusstraat,in Rotterdam,70 m,Totaal 3 kamers,€ 450,p/m | excl. g/w/e,Kaal,11-09-2021,4 dagen geleden geplaatst,https://kamernet.nl/huren/appartement-rotterdam/vergiliusstraat/appartement-1987580,"{'Woonkamer': ' Onbekend ', 'Keuken': ' Onbekend ', 'Badkamer': ' Onbekend ', 'Toilet': ' Onbekend ', 'Internet': ' Onbekend ', 'Energielabel': ' Onbekend ', 'Huisdieren': ' In overleg '}"
Weverssingel,in Amersfoort,22 m,,€ 395,p/m | incl. g/w/e,Kaal,15-10-2021,2 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-amersfoort/weverssingel/kamer-1987856,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  8  ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
Ossendamweg,in Soest,38 m,,€ 700,p/m | incl. g/w/e,Gestoffeerd,01-10-2021,4 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-soest/ossendamweg/kamer-1987537,"{'Woonkamer': ' Geen ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Eigen ', 'Toilet': ' Eigen ', 'Internet': ' Ja ', 'Energielabel': ' B ', 'Huisgenoten': '  4  ', 'Geslacht': ' Vrouw ', 'Huisdieren': ' Nee '}"
Croesestraat,in Utrecht,37 m,Totaal 1 kamer (1 slaapkamer) ,€ 795,p/m | incl. g/w/e,Gestoffeerd,13-11-2021,4 dagen geleden geplaatst,https://kamernet.nl/huren/studio-utrecht/croesestraat/studio-1987558,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Eigen ', 'Toilet': ' Eigen ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisdieren': ' Nee '}"
Eekwal,in Zwolle,16 m,,€ 300,p/m | incl. g/w/e,Gemeubileerd,01-10-2021 tot 01-10-2022,2 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-zwolle/eekwal/kamer-1987779,"{'Woonkamer': ' Geen ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' F ', 'Huisgenoten': '  1 ', 'Geslacht': ' Man ', 'Huisdieren': ' Nee '}"
De Leeuw van Vlaanderenstraat,in Amsterdam,15 m,Totale oppervlakte: 110 m 2,€ 730,p/m | incl. g/w/e,Gemeubileerd,15-09-2021 tot 15-09-2022,4 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-amsterdam/de-leeuw-van-vlaanderenstraat/kamer-1987557,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  1 ', 'Geslacht': ' Vrouw ', 'Huisdieren': ' Nee '}"
1e Franklinstraat,in Eindhoven,15 m,,€ 500,p/m | incl. g/w/e,Gestoffeerd,01-10-2021,2 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-eindhoven/1e-franklinstraat/kamer-1987751,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  2 ', 'Geslacht': ' Man ', 'Huisdieren': ' Nee '}"
Edisonstraat,in IJmuiden,9 m,Totale oppervlakte: 40 m 2,€ 365,p/m | incl. g/w/e,Gemeubileerd,01-10-2021,4 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-ijmuiden/edisonstraat/kamer-1987572,"{'Woonkamer': ' Geen ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  5 ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
Sphinxlunet,in Maastricht,100 m,Totaal 2 kamers,€ 1535,p/m | excl. g/w/e,Kaal,01-11-2021,4 dagen geleden geplaatst,https://kamernet.nl/huren/appartement-maastricht/sphinxlunet/appartement-1987581,"{'Woonkamer': ' Onbekend ', 'Keuken': ' Onbekend ', 'Badkamer': ' Onbekend ', 'Toilet': ' Onbekend ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisdieren': ' Nee '}"
Holendrechtstraat,in Amsterdam,36 m,Totaal 2 kamers (1 slaapkamer) ,€ 1280,p/m | excl. g/w/e,Gestoffeerd,01-10-2021,4 dagen geleden geplaatst,https://kamernet.nl/huren/appartement-amsterdam/holendrechtstraat/appartement-1987599,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Eigen ', 'Toilet': ' Eigen ', 'Internet': ' Ja ', 'Energielabel': ' A ', 'Huisdieren': ' Nee '}"
Driebergseweg,in Zeist,12 m,,€ 325,p/m | incl. g/w/e,Gestoffeerd,01-10-2021 tot 01-01-2025,3 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-zeist/driebergseweg/kamer-1987658,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  Meer dan 8 ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
Dr. Claas Noorduijnstraat,in Nijmegen,22 m,Totale oppervlakte: 60 m 2,€ 400,p/m | incl. g/w/e,Gestoffeerd,01-01-2022,3 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-nijmegen/dr.-claas-noorduijnstraat/kamer-1987602,"{'Woonkamer': ' Geen ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  1 ', 'Geslacht': ' Vrouw ', 'Huisdieren': ' Nee '}"
Prins Willem-Alexanderlaan,in Apeldoorn,45 m,Totaal 2 kamers,€ 610,p/m | excl. g/w/e,Gestoffeerd,01-10-2021,4 dagen geleden geplaatst,https://kamernet.nl/huren/appartement-apeldoorn/prins-willem-alexanderlaan/appartement-1987583,"{'Woonkamer': ' Onbekend ', 'Keuken': ' Onbekend ', 'Badkamer': ' Onbekend ', 'Toilet': ' Onbekend ', 'Internet': ' Onbekend ', 'Energielabel': ' Onbekend ', 'Huisdieren': ' In overleg '}"
Lutmastraat,in Amsterdam,70 m,,€ 2800,p/m | excl. g/w/e,Gemeubileerd,30-09-2021,3 dagen geleden geplaatst,https://kamernet.nl/huren/appartement-amsterdam/lutmastraat/appartement-1987609,"{'Woonkamer': ' Geen ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisdieren': ' Nee '}"
Welle,in Deventer,32 m,Totaal 1 kamer,€ 621,p/m | excl. g/w/e,Gestoffeerd,01-10-2021,4 dagen geleden geplaatst,https://kamernet.nl/huren/studio-deventer/welle/studio-1987587,"{'Woonkamer': ' Onbekend ', 'Keuken': ' Onbekend ', 'Badkamer': ' Onbekend ', 'Toilet': ' Onbekend ', 'Internet': ' Onbekend ', 'Energielabel': ' Onbekend ', 'Huisdieren': ' In overleg '}"
