html,straat,plaats,oppervlakte_kamer,oppervlakte_subtitel,prijs,gas_water_licht,opleverniveau,beschikbaarheid,publicatiedatum,kamers_url,woningdetails
kamer-1990068.html,Rotterdamseweg,in Delft,16 m,,€ 390,p/m | incl. g/w/e,Gestoffeerd,03-10-2021,7 uur geleden geplaatst,https://kamernet.nl/huren/kamer-delft/rotterdamseweg/kamer-1990068,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  4  ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
kamer-1990091.html,Bosscherweg,in Maastricht,28 m,Totale oppervlakte: 30 m 2,€ 430,p/m | incl. g/w/e,Gemeubileerd,01-02-2022,7 uur geleden geplaatst,https://kamernet.nl/huren/kamer-maastricht/bosscherweg/kamer-1990091,"{'Woonkamer': ' Eigen ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  2 ', 'Geslacht': ' Man ', 'Huisdieren': ' In overleg '}"
kamer-1990070.html,Laan van Turkenburg,in Bodegraven,22 m,,€ 565,p/m | incl. g/w/e,Gemeubileerd,26-09-2021,7 uur geleden geplaatst,https://kamernet.nl/huren/kamer-bodegraven/laan-van-turkenburg/kamer-1990070,"{'Woonkamer': ' Geen ', 'Keuken': ' Eigen ', 'Badkamer': ' Eigen ', 'Toilet': ' Eigen ', 'Internet': ' Ja ', 'Energielabel': ' B ', 'Huisgenoten': '  2 ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
kamer-1989995.html,Aprilstraat,in Almere,18 m,,€ 469,p/m | incl. g/w/e,Gestoffeerd,01-10-2021,14 uur geleden geplaatst,https://kamernet.nl/huren/kamer-almere/aprilstraat/kamer-1989995,"{'Woonkamer': ' Geen ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  3 ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
kamer-1990000.html,Weverstraat,in Oosterbeek,30 m,,€ 525,p/m | excl. g/w/e,Gestoffeerd,01-10-2021,14 uur geleden geplaatst,https://kamernet.nl/huren/kamer-oosterbeek/weverstraat/kamer-1990000,"{'Woonkamer': ' Onbekend ', 'Keuken': ' Onbekend ', 'Badkamer': ' Onbekend ', 'Toilet': ' Onbekend ', 'Internet': ' Onbekend ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  Onbekend  ', 'Geslacht': ' Onbekend ', 'Huisdieren': ' In overleg '}"
appartement-1989870.html,Gooilandseweg,in Bussum,50 m,Totaal 2 kamers,€ 1200,p/m | excl. g/w/e,Gestoffeerd,22-09-2021,Gisteren geplaatst,https://kamernet.nl/huren/appartement-bussum/gooilandseweg/appartement-1989870,"{'Woonkamer': ' Onbekend ', 'Keuken': ' Onbekend ', 'Badkamer': ' Onbekend ', 'Toilet': ' Onbekend ', 'Internet': ' Onbekend ', 'Energielabel': ' Onbekend ', 'Huisdieren': ' Nee '}"
appartement-1989999.html,De Bitterstraat,in Arnhem,105 m,Totaal 4 kamers,€ 895,p/m | excl. g/w/e,Gestoffeerd,01-11-2021,14 uur geleden geplaatst,https://kamernet.nl/huren/appartement-arnhem/de-bitterstraat/appartement-1989999,"{'Woonkamer': ' Onbekend ', 'Keuken': ' Onbekend ', 'Badkamer': ' Onbekend ', 'Toilet': ' Onbekend ', 'Internet': ' Onbekend ', 'Energielabel': ' Onbekend ', 'Huisdieren': ' In overleg '}"
appartement-1989871.html,Bart van der Leckhof,in Diemen,68 m,Totaal 3 kamers,€ 1575,p/m | excl. g/w/e,Gemeubileerd,22-09-2021,Gisteren geplaatst,https://kamernet.nl/huren/appartement-diemen/bart-van-der-leckhof/appartement-1989871,"{'Woonkamer': ' Onbekend ', 'Keuken': ' Onbekend ', 'Badkamer': ' Onbekend ', 'Toilet': ' Onbekend ', 'Internet': ' Onbekend ', 'Energielabel': ' Onbekend ', 'Huisdieren': ' Nee '}"
kamer-1989794.html,Hofsingel,in Vlaardingen,20 m,,€ 450,p/m | incl. g/w/e,Gemeubileerd,21-09-2021 tot 30-04-2022,2 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-vlaardingen/hofsingel/kamer-1989794,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  2 ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
kamer-1958909.html,Weversland,in Noordwijkerhout,10 m,Totale oppervlakte: 50 m 2,€ 475,p/m | excl. g/w/e,Gemeubileerd,01-10-2021,3 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-noordwijkerhout/weversland/kamer-1958909,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  2 ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
