straat,plaats,oppervlakte_kamer,oppervlakte_subtitel,prijs,gas_water_licht,opleverniveau,beschikbaarheid,publicatiedatum,kamers_url,woningdetails
Klikspaanweg,in Leiden,11 m,,€ 335,p/m | incl. g/w/e,Gestoffeerd,12-10-2021,Gisteren geplaatst,https://kamernet.nl/huren/kamer-leiden/klikspaanweg/kamer-1876331,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Eigen ', 'Toilet': ' Eigen ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  Meer dan 8 ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Ja '}"
Steijnstraat,in Arnhem,22 m,,€ 468,p/m | incl. g/w/e,Gestoffeerd,01-10-2021 tot 01-10-2022,Gisteren geplaatst,https://kamernet.nl/huren/kamer-arnhem/steijnstraat/kamer-1987782,"{'Woonkamer': ' Geen ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  5 ', 'Geslacht': ' Vrouw ', 'Huisdieren': ' Nee '}"
Korte Poten,in Den Haag,16 m,Totale oppervlakte: 93 m 2,€ 575,p/m | excl. g/w/e,Gestoffeerd,12-09-2021,Gisteren geplaatst,https://kamernet.nl/huren/kamer-den-haag/korte-poten/kamer-1987834,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  1 ', 'Geslacht': ' Man ', 'Huisdieren': ' Nee '}"
Witte Singel,in Leiden,12 m,,€ 250,p/m | incl. g/w/e,Gestoffeerd,08-10-2021,Gisteren geplaatst,https://kamernet.nl/huren/kamer-leiden/witte-singel/kamer-1987852,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  8  ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
Goirkestraat,in Tilburg,48 m,Totale oppervlakte: 48 m 2,€ 1050,p/m | incl. g/w/e,Gestoffeerd,01-10-2021,Gisteren geplaatst,https://kamernet.nl/huren/kamer-tilburg/goirkestraat/kamer-1987847,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Eigen ', 'Toilet': ' Eigen ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  1 ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
Haaksbergerstraat,in Enschede,18 m,,€ 306,p/m | incl. g/w/e,Gemeubileerd,01-11-2021 tot 31-01-2022,Gisteren geplaatst,https://kamernet.nl/huren/kamer-enschede/haaksbergerstraat/kamer-1987771,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Onbekend ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  5 ', 'Geslacht': ' Gemengd ', 'Huisdieren': ' Nee '}"
Borneostraat,in Utrecht,80 m,Totaal 3 kamers (2 slaapkamers) ,€ 1200,p/m | incl. g/w/e,Gestoffeerd,01-11-2021,14 uur geleden geplaatst,https://kamernet.nl/huren/appartement-utrecht/borneostraat/appartement-1987853,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisdieren': ' Nee '}"
Statenweg,in Rotterdam,10 m,Totale oppervlakte: 50 m 2,€ 580,p/m | incl. g/w/e,Kaal,01-10-2021,2 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-rotterdam/statenweg/kamer-1987667,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  4  ', 'Geslacht': ' Man ', 'Huisdieren': ' Nee '}"
Dintelstraat,in Arnhem,9 m,,€ 350,p/m | excl. g/w/e,Gestoffeerd,01-10-2021 tot 01-01-2022,2 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-arnhem/dintelstraat/kamer-1987664,"{'Woonkamer': ' Gedeeld ', 'Keuken': ' Gedeeld ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  1 ', 'Geslacht': ' Man ', 'Huisdieren': ' Nee '}"
Jan Hissink Jansenstraat,in Groningen,20 m,,€ 460,p/m | incl. g/w/e,Gestoffeerd,15-09-2021,2 dagen geleden geplaatst,https://kamernet.nl/huren/kamer-groningen/jan-hissink-jansenstraat/kamer-1987576,"{'Woonkamer': ' Eigen ', 'Keuken': ' Eigen ', 'Badkamer': ' Gedeeld ', 'Toilet': ' Gedeeld ', 'Internet': ' Ja ', 'Energielabel': ' Onbekend ', 'Huisgenoten': '  1 ', 'Geslacht': ' Vrouw ', 'Huisdieren': ' In overleg '}"
